Generation,Block,Dish,Lineage,Sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,1,5,D1,F,1,0,1,1,7,2,1,1
1,1,21,D1,F,2,2,1,1,2,1,3,2
1,1,37,D1,F,6,2,4,2,1,1,0,0
1,1,7,D2,F,3,5,1,3,2,1,0,0
1,1,23,D2,F,8,0,3,1,0,2,2,0
1,1,39,D2,F,4,5,1,3,3,0,0,0
1,1,2,D3,F,0,0,1,7,1,5,0,2
1,1,18,D3,F,3,5,4,1,1,0,0,2
1,1,34,D3,F,0,2,2,2,7,2,0,1
1,1,13,D4,F,2,2,3,3,1,4,0,1
1,1,29,D4,F,8,0,3,0,1,0,2,2
1,1,45,D4,F,1,4,0,1,7,0,0,2
1,1,14,U1,F,0,0,2,2,2,4,5,1
1,1,30,U1,F,0,6,2,1,1,2,3,0
1,1,46,U1,F,0,3,2,5,1,0,3,1
1,1,1,U2,F,1,0,1,2,3,2,6,1
1,1,17,U2,F,1,1,2,4,1,2,0,4
1,1,33,U2,F,3,3,0,1,2,2,3,0
1,1,8,U3,F,1,2,4,4,3,1,1,0
1,1,24,U3,F,2,3,2,5,1,1,1,0
1,1,40,U3,F,2,2,3,1,2,2,0,4
1,1,9,U4,F,0,1,4,2,2,5,2,0
1,1,25,U4,F,4,2,2,2,0,0,5,1
1,1,41,U4,F,1,2,0,9,1,1,1,1
1,1,3,D1,M,1,0,3,1,4,3,3,1
1,1,19,D1,M,5,0,1,0,0,1,6,2
1,1,35,D1,M,3,3,2,0,0,6,0,1
1,1,16,D2,M,2,1,2,1,3,1,3,1
1,1,32,D2,M,2,1,3,1,2,0,1,6
1,1,48,D2,M,3,4,3,2,3,0,0,1
1,1,11,D3,M,8,2,1,0,0,2,1,2
1,1,27,D3,M,4,1,0,0,2,5,0,2
1,1,43,D3,M,1,3,1,1,1,1,3,5
1,1,4,D4,M,1,8,3,0,0,2,1,1
1,1,20,D4,M,0,2,2,1,9,0,1,0
1,1,36,D4,M,1,1,5,1,0,2,0,5
