Generation,Lineage,Sex,AI,Treatment
1,D1,F,2.734693878,D
1,D1,F,0.285714286,D
1,D1,F,2.142857143,D
1,D1,F,2.274725275,D
1,D1,F,1.428571429,D
1,D1,F,3.876190476,D
1,D1,F,0.714285714,D
1,D1,F,1.428571429,D
1,D1,F,1.714285714,D
1,D1,F,1.714285714,D
1,D1,F,3.114285714,D
1,D1,F,0.857142857,D
1,D1,M,1,D
1,D1,M,2.961904762,D
1,D1,M,2.352380952,D
1,D1,M,2.857142857,D
1,D1,M,1.714285714,D
1,D1,M,3.285714286,D
1,D1,M,2.571428571,D
1,D1,M,1.857142857,D
1,D1,M,1.285714286,D
1,D1,M,1.428571429,D
1,D1,M,0.857142857,D
1,D1,M,4.428571429,D
2,D1,F,1.895238095,D
2,D1,F,1.59047619,D
2,D1,F,3.571428571,D
2,D1,F,3.571428571,D
2,D1,F,4,D
2,D1,F,0.857142857,D
2,D1,F,0.571428571,D
2,D1,F,0.980952381,D
2,D1,F,2,D
2,D1,F,3.32967033,D
2,D1,F,3.285714286,D
2,D1,F,1.438095238,D
2,D1,M,4.142857143,D
2,D1,M,1.857142857,D
2,D1,M,2,D
2,D1,M,0.714285714,D
2,D1,M,1.857142857,D
2,D1,M,1.714285714,D
2,D1,M,1.857142857,D
2,D1,M,1.714285714,D
2,D1,M,1.895238095,D
2,D1,M,2.657142857,D
2,D1,M,1.918367347,D
2,D1,M,4,D
3,D1,F,1.428571429,D
3,D1,F,2.142857143,D
3,D1,F,1.714285714,D
3,D1,F,1.714285714,D
3,D1,F,1.895238095,D
3,D1,F,2,D
3,D1,F,2.428571429,D
3,D1,F,2.285714286,D
3,D1,F,1.285714286,D
3,D1,F,0.857142857,D
3,D1,F,0.828571429,D
3,D1,F,1.285714286,D
3,D1,M,1,D
3,D1,M,4.638095238,D
3,D1,M,1.285714286,D
3,D1,M,2.142857143,D
3,D1,M,1.142857143,D
3,D1,M,6.00952381,D
3,D1,M,1.428571429,D
3,D1,M,1.857142857,D
3,D1,M,4.920634921,D
3,D1,M,3.723809524,D
3,D1,M,1.895238095,D
3,D1,M,1.571428571,D
4,D1,F,2.857142857,D
4,D1,F,2.285714286,D
4,D1,F,2.714285714,D
4,D1,F,2.504761905,D
4,D1,F,2.428571429,D
4,D1,F,0.980952381,D
4,D1,F,1.142857143,D
4,D1,F,0.828571429,D
4,D1,F,1.918367347,D
4,D1,F,0.857142857,D
4,D1,F,2.657142857,D
4,D1,F,1.438095238,D
4,D1,M,2.571428571,D
4,D1,M,0.571428571,D
4,D1,M,1.714285714,D
4,D1,M,1.714285714,D
4,D1,M,6.714285714,D
4,D1,M,0.285714286,D
4,D1,M,1.285714286,D
4,D1,M,2.857142857,D
4,D1,M,2.047619048,D
4,D1,M,2.857142857,D
4,D1,M,4.638095238,D
4,D1,M,2.285714286,D
5,D1,F,1.571428571,D
5,D1,F,1.265306122,D
5,D1,F,1.285714286,D
5,D1,F,1.941176471,D
5,D1,F,0.714285714,D
5,D1,F,2,D
5,D1,F,0.857142857,D
5,D1,F,1.857142857,D
5,D1,F,2.285714286,D
5,D1,F,1.142857143,D
5,D1,F,5.095238095,D
5,D1,F,5.571428571,D
5,D1,M,2.857142857,D
5,D1,M,0.828571429,D
5,D1,M,1.895238095,D
5,D1,M,1.285714286,D
5,D1,M,1.428571429,D
5,D1,M,1.742857143,D
5,D1,M,3.285714286,D
5,D1,M,0.714285714,D
5,D1,M,2.80952381,D
5,D1,M,4.142857143,D
5,D1,M,1.895238095,D
5,D1,M,3.285714286,D
6,D1,F,1.59047619,D
6,D1,F,2.961904762,D
6,D1,F,2.857142857,D
6,D1,F,0.371428571,D
6,D1,F,1,D
6,D1,F,0.285714286,D
6,D1,F,2.504761905,D
6,D1,F,1.428571429,D
6,D1,F,0.676190476,D
6,D1,F,2.047619048,D
6,D1,F,0.612244898,D
6,D1,M,2,D
6,D1,M,2.657142857,D
6,D1,M,7,D
6,D1,M,2,D
6,D1,M,3.266666667,D
6,D1,M,1.265306122,D
6,D1,M,1.591836735,D
6,D1,M,1.428571429,D
6,D1,M,1.428571429,D
6,D1,M,2.428571429,D
6,D1,M,0.857142857,D
6,D1,M,1.285714286,D
7,D1,F,2.142857143,D
7,D1,F,2.352380952,D
7,D1,F,0.142857143,D
7,D1,F,1.142857143,D
7,D1,F,2.428571429,D
7,D1,F,2.571428571,D
7,D1,F,1.102040816,D
7,D1,F,1.755102041,D
7,D1,F,0.380952381,D
7,D1,F,2,D
7,D1,F,7.285714286,D
7,D1,F,1,D
7,D1,M,1.285714286,D
7,D1,M,0.952380952,D
7,D1,M,2.2,D
7,D1,M,3.857142857,D
7,D1,M,5.857142857,D
7,D1,M,0.857142857,D
7,D1,M,3.571428571,D
7,D1,M,2.428571429,D
7,D1,M,0.857142857,D
7,D1,M,5.552380952,D
7,D1,M,3.714285714,D
7,D1,M,1.714285714,D
8,D1,F,1.895238095,D
8,D1,F,1.742857143,D
8,D1,F,2.714285714,D
8,D1,F,1,D
8,D1,F,2.081632653,D
8,D1,F,2.714285714,D
8,D1,F,2.428571429,D
8,D1,F,2,D
8,D1,F,2.714285714,D
8,D1,F,0.714285714,D
8,D1,F,0.857142857,D
8,D1,F,1.133333333,D
8,D1,M,1.857142857,D
8,D1,M,3.142857143,D
8,D1,M,2.352380952,D
8,D1,M,0.571428571,D
8,D1,M,0.980952381,D
8,D1,M,2.428571429,D
8,D1,M,2.047619048,D
8,D1,M,2.352380952,D
8,D1,M,2.142857143,D
8,D1,M,3.285714286,D
8,D1,M,1.714285714,D
8,D1,M,2.352380952,D
1,D2,F,1.59047619,D
1,D2,F,3.571428571,D
1,D2,F,2,D
1,D2,F,1.142857143,D
1,D2,F,2.047619048,D
1,D2,F,1.285714286,D
1,D2,F,2.428571429,D
1,D2,F,2.80952381,D
1,D2,F,1.571428571,D
1,D2,F,4.942857143,D
1,D2,F,1.904761905,D
1,D2,F,1.895238095,D
1,D2,M,0.448979592,D
1,D2,M,1.714285714,D
1,D2,M,1.142857143,D
1,D2,M,1.857142857,D
1,D2,M,1.428571429,D
1,D2,M,3.114285714,D
1,D2,M,2,D
1,D2,M,1.714285714,D
1,D2,M,8.428571429,D
1,D2,M,1.285714286,D
1,D2,M,1.857142857,D
1,D2,M,3.285714286,D
2,D2,F,7.285714286,D
2,D2,F,0.857142857,D
2,D2,F,3.285714286,D
2,D2,F,2,D
2,D2,F,1,D
2,D2,F,3.285714286,D
2,D2,F,1.857142857,D
2,D2,F,2.961904762,D
2,D2,F,2.714285714,D
2,D2,F,2.081632653,D
2,D2,F,3.285714286,D
2,D2,F,2.428571429,D
2,D2,M,8.428571429,D
2,D2,M,2.285714286,D
2,D2,M,3.285714286,D
2,D2,M,1.142857143,D
2,D2,M,4.367346939,D
2,D2,M,1.857142857,D
2,D2,M,2,D
2,D2,M,5.428571429,D
2,D2,M,2.428571429,D
2,D2,M,2.244897959,D
2,D2,M,1.918367347,D
2,D2,M,0.857142857,D
3,D2,F,0.93877551,D
3,D2,F,0.428571429,D
3,D2,F,1.142857143,D
3,D2,F,0.857142857,D
3,D2,F,1.895238095,D
3,D2,F,1.571428571,D
3,D2,F,1.285714286,D
3,D2,F,4.142857143,D
3,D2,F,1.142857143,D
3,D2,F,4.428571429,D
3,D2,F,1.438095238,D
3,D2,F,2.142857143,D
3,D2,M,3.714285714,D
3,D2,M,1.714285714,D
3,D2,M,2.571428571,D
3,D2,M,4.857142857,D
3,D2,M,0.857142857,D
3,D2,M,1.285714286,D
3,D2,M,3.285714286,D
3,D2,M,1.571428571,D
3,D2,M,2.714285714,D
3,D2,M,7.571428571,D
3,D2,M,2.428571429,D
3,D2,M,2.80952381,D
4,D2,F,1.714285714,D
4,D2,F,0.285714286,D
4,D2,F,2.714285714,D
4,D2,F,1.59047619,D
4,D2,F,1.59047619,D
4,D2,F,0.714285714,D
4,D2,F,1.142857143,D
4,D2,F,1.102040816,D
4,D2,F,0.612244898,D
4,D2,F,0.828571429,D
4,D2,F,2,D
4,D2,F,1.438095238,D
4,D2,M,1.285714286,D
4,D2,M,2,D
4,D2,M,4.333333333,D
4,D2,M,4.142857143,D
4,D2,M,0.428571429,D
4,D2,M,1.571428571,D
4,D2,M,1.571428571,D
4,D2,M,1.438095238,D
4,D2,M,2.571428571,D
4,D2,M,2.047619048,D
4,D2,M,3.723809524,D
4,D2,M,2.857142857,D
5,D2,F,2.714285714,D
5,D2,F,1.133333333,D
5,D2,F,2.285714286,D
5,D2,F,1.133333333,D
5,D2,F,3.285714286,D
5,D2,F,1,D
5,D2,F,2.2,D
5,D2,F,1.428571429,D
5,D2,F,1.142857143,D
5,D2,F,2.142857143,D
5,D2,F,2,D
5,D2,F,1,D
5,D2,M,2.047619048,D
5,D2,M,1.142857143,D
5,D2,M,2.142857143,D
5,D2,M,2.571428571,D
5,D2,M,0.612244898,D
5,D2,M,1.133333333,D
5,D2,M,3.142857143,D
5,D2,M,2.571428571,D
5,D2,M,0.980952381,D
5,D2,M,3.428571429,D
5,D2,M,4.333333333,D
5,D2,M,2.142857143,D
6,D2,F,1.571428571,D
6,D2,F,2,D
6,D2,F,1.428571429,D
6,D2,F,2.244897959,D
6,D2,F,2.714285714,D
6,D2,F,1.285714286,D
6,D2,F,2,D
6,D2,F,2.285714286,D
6,D2,F,1.59047619,D
6,D2,F,2.504761905,D
6,D2,F,1.133333333,D
6,D2,F,1.714285714,D
6,D2,M,1.857142857,D
6,D2,M,2,D
6,D2,M,1.285714286,D
6,D2,M,2.081632653,D
6,D2,M,2,D
6,D2,M,2.857142857,D
6,D2,M,2.285714286,D
6,D2,M,2.504761905,D
6,D2,M,2.657142857,D
6,D2,M,2,D
6,D2,M,1.747252747,D
6,D2,M,1.895238095,D
7,D2,F,3.142857143,D
7,D2,F,1.142857143,D
7,D2,F,1.438095238,D
7,D2,F,2.80952381,D
7,D2,F,1.133333333,D
7,D2,F,2.857142857,D
7,D2,F,1.428571429,D
7,D2,F,0.857142857,D
7,D2,F,3.266666667,D
7,D2,F,0.612244898,D
7,D2,F,4.571428571,D
7,D2,F,2,D
7,D2,M,1.133333333,D
7,D2,M,3.723809524,D
7,D2,M,1.285714286,D
7,D2,M,3.428571429,D
7,D2,M,2.657142857,D
7,D2,M,2.714285714,D
7,D2,M,2,D
7,D2,M,1.571428571,D
7,D2,M,1.571428571,D
7,D2,M,0.93877551,D
7,D2,M,1.428571429,D
7,D2,M,2,D
8,D2,F,2.571428571,D
8,D2,F,1.59047619,D
8,D2,F,3.428571429,D
8,D2,F,2.285714286,D
8,D2,F,1.285714286,D
8,D2,F,3.142857143,D
8,D2,F,1.428571429,D
8,D2,F,1.428571429,D
8,D2,F,1.142857143,D
8,D2,F,2.428571429,D
8,D2,F,1.285714286,D
8,D2,F,0.676190476,D
8,D2,M,3.428571429,D
8,D2,M,0.857142857,D
8,D2,M,2.285714286,D
8,D2,M,2.285714286,D
8,D2,M,1.133333333,D
8,D2,M,1.438095238,D
8,D2,M,3.387755102,D
8,D2,M,2.142857143,D
8,D2,M,0.857142857,D
8,D2,M,1.755102041,D
8,D2,M,0.714285714,D
8,D2,M,4.428571429,D
1,D3,F,3.428571429,D
1,D3,F,1.714285714,D
1,D3,F,2.428571429,D
1,D3,F,2.244897959,D
1,D3,F,2.571428571,D
1,D3,F,1.428571429,D
1,D3,F,2.142857143,D
1,D3,F,0.676190476,D
1,D3,F,2.285714286,D
1,D3,F,0.714285714,D
1,D3,F,2.428571429,D
1,D3,F,3.714285714,D
1,D3,M,3.285714286,D
1,D3,M,2.081632653,D
1,D3,M,1.142857143,D
1,D3,M,1.571428571,D
1,D3,M,7,D
1,D3,M,2.285714286,D
1,D3,M,2.480519481,D
1,D3,M,2.428571429,D
1,D3,M,5.571428571,D
1,D3,M,3.285714286,D
1,D3,M,2,D
1,D3,M,2.961904762,D
2,D3,F,1.714285714,D
2,D3,F,9.20952381,D
2,D3,F,1.428571429,D
2,D3,F,1.571428571,D
2,D3,F,1.142857143,D
2,D3,F,1.895238095,D
2,D3,F,2.285714286,D
2,D3,F,1.102040816,D
2,D3,F,2.142857143,D
2,D3,F,0.692307692,D
2,D3,F,1.895238095,D
2,D3,F,2.714285714,D
2,D3,M,2.142857143,D
2,D3,M,3.571428571,D
2,D3,M,4.571428571,D
2,D3,M,2.504761905,D
2,D3,M,4.571428571,D
2,D3,M,3.428571429,D
2,D3,M,1.591836735,D
2,D3,M,3.714285714,D
2,D3,M,3.876190476,D
2,D3,M,1.571428571,D
2,D3,M,4.285714286,D
2,D3,M,2.714285714,D
3,D3,F,5.183673469,D
